No	k_macropore_multp	k_soil_multp	theta_sat_multp	aquiferBaseflowExp_multp	aquiferBaseflowRate_multp	qSurfScale_multp	summerLAI_multp	frozenPrecipMultip_multp	routingGammaScale_multp	routingGammaShape_multp	Fcapil_multp	thickness_multp	-KGE
4008	7.60E+01	3.41E+00	1.33E+00	3.84E+00	4.10E+00	4.73E-01	2.62E+00	1.02E+00	7.86E+00	9.66E-01	1.38E+00	4.96E+00	-1.08E-01
4009	2.32E+01	1.16E+00	1.40E+00	4.90E+00	4.18E+01	4.24E-01	1.17E+00	1.31E+00	3.25E+00	1.09E+00	3.51E-01	4.83E+00	-5.06E-01
4010	8.59E+01	5.85E+00	1.24E+00	1.29E+00	4.27E+01	6.08E-01	2.08E+00	6.87E-01	7.69E+00	9.48E-01	1.56E+00	5.96E+00	4.07E-02
4011	5.98E+01	5.14E+00	1.05E+00	2.22E+00	1.31E+01	2.93E-01	1.83E-01	8.63E-01	2.98E+00	1.16E+00	6.77E-01	5.24E+00	-2.46E-01
4012	9.85E+01	6.53E-01	8.75E-01	3.88E+00	4.51E+01	2.67E-02	1.87E+00	5.50E-01	7.21E+00	1.16E+00	8.15E-01	6.26E+00	2.18E-01
4013	1.03E+00	4.73E+00	1.03E+00	2.93E+00	3.04E+01	1.39E+00	1.26E-01	1.07E+00	1.96E+00	9.59E-01	1.14E+00	5.64E-01	-3.83E-01
4014	2.55E+00	3.52E+00	9.68E-01	1.92E+00	3.91E+01	1.11E+00	8.90E-02	9.99E-01	2.48E+00	1.02E+00	1.56E+00	4.90E+00	-5.65E-01
4015	6.19E+01	7.10E+00	1.49E+00	2.02E+00	8.78E+01	8.43E-01	6.20E-01	1.40E+00	9.03E+00	9.59E-01	4.97E-01	2.19E+00	-2.56E-01
4016	9.48E+01	1.82E+00	1.36E+00	1.35E+00	7.95E+01	1.44E+00	2.84E+00	1.49E+00	7.27E+00	1.12E+00	1.13E+00	3.11E+00	-5.16E-01
4017	1.95E+01	1.39E+00	8.91E-01	3.55E+00	8.02E+01	1.07E+00	2.03E+00	9.21E-01	5.25E+00	1.04E+00	1.30E+00	2.97E+00	-1.07E-01
4018	8.11E+01	2.83E+00	1.38E+00	2.49E+00	3.29E+01	7.46E-01	2.89E+00	7.31E-01	5.56E+00	9.48E-01	2.50E-01	6.45E-01	-3.15E-01
4019	2.69E+01	2.36E+00	1.49E+00	4.74E+00	1.75E+01	2.20E-02	2.87E+00	6.86E-01	6.61E+00	8.66E-01	1.26E+00	7.08E+00	4.74E-02
4020	8.59E+01	5.49E+00	1.19E+00	7.08E-01	1.59E+01	3.80E-01	3.90E-01	1.47E+00	5.75E+00	1.17E+00	7.85E-01	6.63E+00	-4.41E-01
4021	2.98E+01	2.04E+00	9.13E-01	4.32E+00	6.48E+01	3.89E-01	3.10E+00	1.42E+00	5.13E+00	1.17E+00	1.46E+00	5.05E+00	-4.16E-01
4022	9.14E+01	5.19E+00	1.42E+00	3.07E+00	8.86E+01	1.20E+00	1.78E+00	1.24E+00	3.65E+00	8.27E-01	1.35E+00	3.84E+00	-4.40E-01
4023	7.95E+01	5.39E+00	8.59E-01	1.21E+00	9.10E+01	1.84E+00	2.07E+00	9.43E-01	4.78E+00	8.89E-01	2.02E-01	3.00E+00	-3.96E-01
4024	7.53E+01	1.39E+00	1.40E+00	3.79E+00	3.17E+01	4.96E-01	1.38E+00	1.34E+00	6.90E+00	1.07E+00	9.04E-01	1.05E+00	-2.15E-01
4025	6.86E+00	3.18E+00	9.14E-01	4.55E+00	6.51E+01	1.94E+00	1.86E+00	7.60E-01	8.57E+00	9.38E-01	1.86E-01	3.24E+00	-2.83E-02
4026	3.20E+00	6.33E+00	1.08E+00	4.08E+00	2.63E+00	1.16E+00	8.19E-02	1.28E+00	7.63E+00	1.15E+00	9.31E-01	6.25E-01	-1.84E-01
4027	1.10E+01	6.63E+00	1.45E+00	4.09E+00	6.08E+01	8.38E-01	3.11E+00	1.18E+00	8.52E+00	8.26E-01	1.03E+00	3.72E+00	-1.18E-01
4028	2.83E+01	2.42E+00	1.14E+00	7.00E-01	2.00E+01	1.94E+00	4.12E-01	8.10E-01	8.97E+00	8.18E-01	3.27E-01	3.74E+00	-3.41E-01
4029	4.57E+01	3.54E-01	9.48E-01	1.89E+00	1.05E+01	1.52E+00	2.70E+00	6.40E-01	8.93E+00	1.03E+00	2.13E-01	2.76E+00	1.06E+00
4030	3.46E+01	2.61E+00	1.42E+00	5.08E-01	6.64E+00	3.95E-01	2.28E+00	8.50E-01	5.25E+00	8.58E-01	7.58E-01	5.32E+00	-3.93E-01
4031	1.16E+01	3.74E+00	8.45E-01	5.53E-01	5.61E+01	2.90E-01	1.72E+00	5.18E-01	1.84E+00	1.08E+00	6.56E-01	2.10E+00	-1.48E-01
4032	4.54E+01	1.04E+00	1.11E+00	2.06E+00	7.08E+01	9.13E-01	2.39E+00	5.53E-01	8.11E+00	1.04E+00	2.49E-01	6.45E+00	4.26E-01
4033	1.89E+01	1.57E+00	9.68E-01	1.27E+00	8.63E+01	1.54E+00	1.30E-01	8.93E-01	6.27E+00	9.34E-01	5.51E-01	2.06E+00	-6.62E-01
4034	7.88E+01	5.32E+00	9.78E-01	1.89E+00	8.84E+01	1.25E+00	9.53E-02	5.01E-01	1.45E+00	8.23E-01	1.85E-01	5.16E+00	2.54E-01
4035	1.93E+01	3.82E+00	1.31E+00	2.16E+00	2.25E+01	1.05E-01	2.17E+00	1.18E+00	1.87E+00	8.28E-01	2.03E-01	6.54E+00	-4.58E-01
4036	5.10E+00	3.36E+00	1.25E+00	1.35E+00	5.21E+01	1.27E+00	2.95E+00	1.21E+00	1.69E+00	1.04E+00	2.91E-01	2.87E+00	-6.26E-01
4037	6.45E+01	5.27E+00	8.68E-01	4.21E+00	8.02E+01	1.94E-01	2.37E+00	8.24E-01	8.31E+00	1.06E+00	1.15E+00	1.29E+00	-2.48E-01
4038	6.46E+01	6.17E+00	1.03E+00	2.21E+00	2.91E+01	1.47E+00	3.33E+00	8.42E-01	2.05E+00	1.05E+00	9.62E-01	5.30E+00	-2.07E-01
4039	2.52E+01	3.02E+00	1.12E+00	2.35E+00	1.77E+00	1.04E+00	2.66E+00	1.16E+00	2.54E+00	1.14E+00	8.96E-01	4.09E-01	-2.58E-01
4040	9.48E+01	1.47E+00	1.08E+00	4.00E+00	8.48E+01	7.22E-02	3.16E+00	9.94E-01	8.87E+00	8.98E-01	1.48E+00	1.35E+00	-4.18E-01
4041	9.78E+01	6.28E+00	1.18E+00	1.29E+00	4.95E+01	1.17E-01	2.97E+00	1.25E+00	4.70E+00	9.29E-01	4.04E-01	3.58E+00	-5.45E-01
4042	8.37E+01	6.85E+00	9.23E-01	8.77E-01	8.15E+01	1.27E+00	4.45E-01	1.26E+00	8.30E+00	1.00E+00	9.78E-01	5.00E+00	-5.14E-01
4043	8.80E+01	5.24E+00	1.47E+00	2.88E+00	1.75E+01	1.10E+00	1.11E+00	1.47E+00	3.02E+00	9.53E-01	3.59E-01	1.55E+00	-2.34E-01
4044	5.31E+01	3.53E+00	9.41E-01	2.38E+00	7.32E+01	1.12E-01	1.98E+00	1.21E+00	9.22E+00	8.46E-01	1.49E+00	3.10E+00	-3.14E-01
4045	1.63E+01	5.58E+00	9.35E-01	3.33E+00	9.97E+00	6.56E-01	3.71E-01	1.44E+00	2.84E+00	9.02E-01	1.98E-01	7.23E-01	-2.42E-02
4046	8.87E+01	1.16E+00	1.41E+00	3.72E+00	6.59E+01	8.04E-01	1.31E+00	6.90E-01	8.85E+00	1.03E+00	1.08E+00	4.56E+00	7.65E-01
4047	6.10E+01	1.51E+00	1.05E+00	2.89E+00	3.16E+01	4.35E-01	3.16E+00	9.80E-01	9.86E+00	8.44E-01	3.28E-01	6.79E-01	-4.26E-01
4048	4.32E+01	1.62E+00	8.40E-01	3.69E+00	4.74E+01	1.07E-01	2.67E+00	8.61E-01	2.06E+00	1.06E+00	2.81E-01	6.31E+00	-4.10E-01
4049	5.18E+00	3.40E+00	8.56E-01	4.71E+00	3.26E+00	1.32E+00	1.84E+00	1.14E+00	8.58E+00	1.15E+00	4.28E-01	1.32E+00	-5.28E-01
4050	8.70E+00	9.42E-01	1.27E+00	8.29E-01	2.34E+01	1.53E+00	5.32E-01	1.17E+00	9.78E+00	8.73E-01	7.29E-01	3.36E+00	-7.29E-01
4051	2.26E+01	1.32E+00	1.38E+00	2.40E+00	8.31E+01	1.78E+00	9.34E-01	1.38E+00	3.64E+00	9.30E-01	1.39E+00	2.91E+00	-6.31E-01
4052	9.80E+01	2.70E+00	8.47E-01	4.27E+00	2.48E+01	4.32E-01	3.62E-02	8.35E-01	3.37E+00	1.06E+00	7.78E-01	4.18E+00	-3.03E-01
4053	4.23E+01	4.09E+00	9.81E-01	2.30E+00	7.48E+01	1.22E+00	2.84E+00	1.47E+00	7.83E+00	1.07E+00	7.62E-01	4.53E+00	-3.26E-01
4054	3.00E+01	5.39E+00	1.26E+00	3.98E+00	9.71E+01	1.35E+00	5.89E-01	6.60E-01	8.83E+00	9.55E-01	6.65E-01	5.50E+00	4.08E-01
4055	5.54E+01	4.87E+00	1.16E+00	4.61E+00	2.20E-01	6.41E-01	1.01E+00	1.48E+00	6.87E+00	9.35E-01	1.40E+00	6.86E+00	-2.38E-01
4056	5.44E+01	5.96E+00	1.01E+00	4.44E+00	4.92E+01	1.35E+00	1.46E+00	1.41E+00	2.48E+00	1.07E+00	6.39E-01	7.28E+00	-2.91E-01
4057	2.75E+01	1.26E+00	1.48E+00	7.49E-01	8.33E+01	7.31E-01	2.23E+00	8.87E-01	4.51E-01	8.65E-01	6.16E-01	3.28E-01	-5.74E-01
4058	4.76E+01	4.35E+00	8.38E-01	1.22E+00	9.39E+01	1.68E+00	3.07E-01	9.84E-01	6.72E+00	9.43E-01	7.04E-01	1.22E+00	-6.64E-01
4059	3.16E+00	5.73E+00	8.75E-01	1.73E+00	4.67E+01	7.90E-01	8.72E-01	1.24E+00	5.61E+00	8.89E-01	1.36E+00	2.90E+00	-6.24E-01
4060	1.54E+01	2.70E+00	9.19E-01	4.00E+00	7.05E+01	8.01E-01	1.76E-01	1.09E+00	1.32E+00	8.01E-01	3.39E-01	2.23E+00	-5.42E-01
4061	5.48E+01	3.24E+00	1.01E+00	4.29E+00	8.28E+01	8.03E-01	1.60E-01	6.28E-01	1.53E+00	1.08E+00	1.52E+00	8.99E-01	-2.12E-01
4062	3.66E+01	6.15E-01	1.01E+00	1.61E+00	4.64E+01	1.22E+00	3.31E+00	1.12E+00	9.78E+00	8.53E-01	7.59E-01	5.05E+00	-5.92E-01
4063	6.09E+01	6.36E+00	1.36E+00	3.89E+00	5.80E+01	1.38E+00	2.90E+00	1.45E+00	7.66E+00	8.58E-01	4.57E-01	1.72E+00	-1.37E-01
4064	7.88E+01	3.73E+00	1.30E+00	2.91E+00	7.66E-01	1.75E-01	4.05E-01	8.04E-01	4.36E+00	9.21E-01	1.43E+00	7.81E-01	-2.35E-01
4065	8.50E+00	1.60E+00	1.11E+00	4.28E+00	8.91E+01	1.31E+00	2.20E+00	5.93E-01	1.62E+00	1.09E+00	1.08E+00	3.62E+00	1.64E-01
4066	2.74E+01	9.02E-01	8.53E-01	2.79E+00	8.79E+00	1.44E+00	1.11E+00	1.02E+00	4.30E+00	1.09E+00	9.93E-01	2.79E+00	-2.73E-01
4067	9.40E+00	4.28E+00	1.25E+00	4.81E+00	9.89E+01	1.75E+00	1.18E+00	5.74E-01	9.80E-01	1.11E+00	1.54E+00	7.22E+00	2.88E-01
4068	8.27E+01	3.00E+00	1.10E+00	1.63E+00	1.35E+01	1.92E+00	2.09E+00	7.29E-01	5.58E+00	8.99E-01	4.45E-01	4.02E+00	-1.43E-01
4069	1.22E+01	3.89E+00	1.24E+00	1.45E+00	3.12E+01	1.07E+00	6.40E-01	1.24E+00	1.12E+00	9.06E-01	6.46E-01	2.99E+00	-5.80E-01
4070	9.97E+01	1.49E+00	1.39E+00	2.97E+00	4.49E+01	5.31E-02	3.10E-01	1.07E+00	5.59E+00	1.08E+00	1.34E+00	6.39E+00	-4.29E-01
4071	2.39E+01	6.98E+00	1.24E+00	2.04E+00	2.36E+01	1.85E+00	2.48E+00	6.81E-01	3.19E+00	1.09E+00	1.55E+00	5.97E+00	1.65E-01
4072	7.72E+01	3.97E+00	9.14E-01	1.58E+00	5.86E+01	1.42E+00	2.81E+00	1.08E+00	9.07E+00	1.07E+00	3.65E-01	2.65E+00	-3.07E-01
4073	9.11E+01	4.71E+00	1.18E+00	4.99E+00	2.56E+01	9.21E-01	2.44E+00	1.25E+00	7.11E+00	1.20E+00	1.39E+00	5.32E-01	-2.42E-01
4074	6.41E+01	1.91E+00	8.91E-01	4.79E+00	9.76E+01	5.93E-02	2.54E+00	1.25E+00	5.73E+00	1.16E+00	1.65E+00	1.18E+00	-2.85E-01
4075	6.00E+01	5.97E+00	1.33E+00	2.78E+00	5.03E+01	1.74E+00	2.87E+00	6.92E-01	1.03E+00	1.12E+00	8.21E-01	2.50E-01	-3.19E-01
4076	4.95E+01	3.95E+00	9.60E-01	1.29E+00	2.62E+01	1.43E+00	3.12E-01	1.40E+00	9.74E+00	8.76E-01	1.45E+00	7.00E+00	-4.37E-01
4077	2.10E+01	4.45E+00	1.30E+00	4.01E+00	5.10E+01	1.38E+00	3.11E+00	6.10E-01	5.22E+00	1.07E+00	1.09E+00	2.03E-01	-6.20E-02
4078	5.40E+01	3.46E+00	9.69E-01	3.35E+00	2.66E+01	1.31E+00	2.20E+00	1.26E+00	2.04E+00	1.14E+00	1.57E+00	3.40E+00	-4.28E-01
4079	5.75E+01	2.80E-01	1.07E+00	2.97E+00	2.19E+01	4.46E-01	1.66E+00	9.29E-01	8.34E+00	8.78E-01	4.79E-01	2.55E+00	-8.34E-02
4080	8.83E+01	1.08E+00	1.13E+00	2.30E+00	8.12E+01	1.56E-01	1.41E+00	8.52E-01	5.51E+00	1.05E+00	1.64E+00	5.99E+00	-4.85E-01
4081	2.84E+01	4.66E+00	1.21E+00	2.66E+00	5.06E+01	1.03E+00	3.12E+00	5.81E-01	5.44E+00	9.19E-01	1.11E+00	5.60E+00	3.49E-01
4082	5.13E+01	9.67E-01	9.52E-01	2.05E+00	3.22E+01	8.05E-01	2.29E+00	7.06E-01	5.43E+00	8.56E-01	1.08E+00	2.61E+00	-1.31E-01
4083	1.83E+01	5.67E+00	1.21E+00	1.56E+00	6.80E+01	7.83E-01	6.78E-01	9.68E-01	9.03E+00	1.16E+00	1.72E-01	6.70E+00	-5.73E-02
4084	2.08E+01	2.68E-01	1.30E+00	3.89E+00	6.62E+01	1.38E+00	1.89E+00	1.45E+00	3.40E+00	8.56E-01	8.05E-01	6.19E+00	-2.88E-01
4085	6.49E+01	2.64E+00	1.45E+00	1.35E+00	6.60E+01	1.11E+00	3.16E+00	6.72E-01	6.78E+00	8.54E-01	9.42E-01	7.34E+00	-8.80E-02
4086	5.31E+01	1.52E+00	9.62E-01	8.13E-01	3.43E+01	1.62E+00	1.40E+00	1.05E+00	8.38E+00	8.49E-01	6.23E-01	3.70E+00	-7.63E-01
4087	8.10E+01	6.25E+00	1.13E+00	1.15E+00	9.50E-01	1.74E+00	3.28E+00	1.16E+00	2.40E+00	1.16E+00	1.44E+00	6.57E+00	-3.95E-01
4088	4.52E+01	5.71E+00	8.68E-01	1.07E+00	9.30E+01	1.17E+00	4.17E-01	9.61E-01	7.86E+00	9.31E-01	9.63E-01	9.80E-01	-5.83E-01
4089	7.85E+01	1.32E-01	1.18E+00	5.79E-01	9.12E+01	7.46E-01	3.03E+00	8.64E-01	1.69E+00	1.19E+00	9.03E-01	7.15E-01	-1.57E-02
4090	5.54E+01	4.44E+00	1.20E+00	2.02E+00	9.42E+01	1.83E-01	1.55E+00	5.78E-01	4.23E-01	8.57E-01	2.42E-01	8.20E-01	-2.88E-01
4091	7.21E+01	1.13E+00	1.03E+00	4.47E+00	1.23E+01	1.58E+00	3.24E+00	1.18E+00	4.09E+00	1.01E+00	1.90E-01	2.58E+00	-5.31E-01
4092	9.81E+01	9.53E-01	9.70E-01	2.35E+00	4.26E+01	1.25E-01	1.71E+00	8.38E-01	7.09E+00	8.16E-01	6.69E-01	7.09E+00	-3.91E-01
4093	6.06E+01	3.49E+00	1.11E+00	3.38E+00	6.23E+01	9.58E-01	2.48E+00	1.25E+00	9.95E+00	1.09E+00	1.25E+00	3.22E+00	-1.89E-01
4094	7.43E+01	4.01E+00	1.27E+00	3.94E+00	9.09E+01	1.79E+00	2.32E+00	1.13E+00	5.46E-01	1.20E+00	9.35E-01	1.28E+00	-3.95E-01
4095	4.26E+01	7.15E+00	1.31E+00	2.40E+00	7.28E+01	8.74E-01	2.85E+00	9.72E-01	9.87E+00	1.00E+00	5.20E-01	6.60E+00	1.55E-01
4096	4.05E+01	6.69E+00	1.18E+00	2.53E+00	9.26E+01	9.61E-02	2.06E+00	1.21E+00	5.28E+00	9.85E-01	1.50E+00	3.94E+00	-4.32E-01
4097	3.24E+01	3.05E+00	9.24E-01	3.50E+00	3.73E+01	8.11E-01	2.10E+00	1.30E+00	4.03E+00	9.37E-01	4.98E-01	9.70E-01	-2.63E-01
4098	4.95E+01	5.40E-01	1.31E+00	1.42E+00	6.46E+00	1.06E+00	8.99E-01	7.47E-01	3.21E+00	1.13E+00	8.91E-01	7.32E+00	-3.43E-01
4099	2.20E+01	4.94E+00	1.14E+00	1.05E+00	5.88E+01	9.42E-01	1.06E-01	1.07E+00	5.94E+00	8.98E-01	1.64E+00	1.70E-01	-4.71E-01
4100	2.97E+01	3.56E+00	1.07E+00	5.13E-01	5.32E+01	1.38E+00	3.22E+00	5.27E-01	7.57E+00	1.07E+00	5.13E-01	6.04E+00	1.77E-01
4101	4.36E+01	5.09E+00	1.09E+00	6.18E-01	9.51E+01	7.56E-01	1.44E-01	7.48E-01	8.64E+00	9.59E-01	5.43E-01	2.94E+00	1.61E-01
4102	2.10E+01	6.46E+00	9.14E-01	2.35E+00	3.71E+01	1.11E+00	2.60E+00	5.30E-01	4.70E+00	1.11E+00	3.51E-01	8.35E-01	4.38E-02
4103	5.93E+01	2.56E+00	1.26E+00	4.26E+00	8.88E+01	1.73E+00	2.46E+00	8.09E-01	1.55E+00	8.03E-01	5.41E-01	2.47E+00	-4.69E-02
4104	9.27E+01	1.63E+00	1.43E+00	4.26E+00	9.43E+01	4.62E-01	6.91E-01	1.05E+00	6.58E-01	8.27E-01	1.60E+00	1.33E+00	-5.68E-01
4105	9.10E+01	6.07E+00	1.15E+00	1.98E+00	9.45E+01	6.22E-01	2.13E+00	1.04E+00	6.59E+00	9.13E-01	7.27E-01	4.02E+00	-4.09E-01
4106	1.49E+01	8.61E-01	1.40E+00	1.83E+00	1.20E+01	2.23E-01	2.09E+00	5.47E-01	3.29E+00	1.01E+00	1.49E+00	1.99E+00	1.60E-01
4107	7.62E+01	3.17E-01	8.92E-01	2.38E+00	3.18E+01	9.57E-01	3.20E+00	9.67E-01	5.88E+00	1.13E+00	1.31E+00	5.20E+00	-4.22E-01
4108	8.41E+01	3.31E-01	9.31E-01	2.41E+00	8.50E+01	1.84E+00	4.34E-01	1.27E+00	3.12E+00	1.15E+00	1.72E-01	1.63E+00	-3.14E-01
4109	5.12E+01	3.67E+00	1.42E+00	1.54E+00	8.25E+01	6.84E-01	3.58E-01	1.41E+00	7.76E+00	8.19E-01	1.10E+00	4.96E+00	-5.64E-01
4110	4.25E+00	3.14E+00	1.31E+00	3.00E+00	6.75E+01	2.82E-01	1.56E+00	5.03E-01	4.47E+00	1.16E+00	1.48E+00	1.33E+00	3.17E-01
4111	3.84E+01	6.38E+00	1.05E+00	3.89E+00	2.57E+01	8.24E-01	1.48E+00	5.98E-01	4.48E+00	1.04E+00	9.51E-01	2.19E+00	4.18E-01
4112	5.16E+01	4.70E+00	8.64E-01	4.20E+00	5.32E+01	1.40E-01	1.29E-01	5.44E-01	5.71E+00	1.16E+00	5.80E-01	2.92E+00	6.58E-01
4113	2.47E+01	2.78E+00	1.03E+00	5.95E-01	4.30E+01	1.86E+00	2.31E+00	1.31E+00	8.19E+00	8.09E-01	1.02E+00	5.97E-01	-3.20E-01
4114	2.80E+01	7.06E+00	1.45E+00	4.31E+00	8.97E+01	4.15E-01	7.99E-01	6.44E-01	5.86E+00	1.02E+00	4.13E-01	1.35E-01	-5.64E-02
4115	4.74E+01	6.15E+00	1.38E+00	1.81E+00	8.78E+01	7.96E-01	1.22E+00	8.06E-01	4.09E+00	1.02E+00	4.30E-01	1.43E-01	-5.95E-01
4116	2.33E+01	2.47E+00	9.19E-01	3.11E+00	5.57E+01	1.89E-01	1.53E+00	1.34E+00	7.94E-01	9.53E-01	1.19E+00	7.12E+00	-3.74E-01
4117	5.83E+01	6.63E+00	9.00E-01	1.24E+00	4.69E+01	5.64E-01	5.88E-01	1.44E+00	1.40E+00	8.00E-01	5.18E-01	1.21E-01	3.76E-02
4118	3.92E+01	4.33E+00	1.04E+00	4.08E+00	1.37E+01	9.92E-01	2.69E+00	8.70E-01	8.31E+00	1.18E+00	1.59E+00	2.88E+00	1.78E-01
4119	3.10E+00	2.98E+00	9.77E-01	9.55E-01	7.93E+01	1.82E+00	2.29E-01	8.76E-01	8.34E+00	8.71E-01	9.78E-01	2.26E+00	-5.34E-01
4120	7.11E+01	4.57E+00	1.40E+00	1.75E+00	5.11E+01	9.65E-01	1.14E+00	1.22E+00	3.84E+00	9.90E-01	3.67E-01	5.52E+00	-5.89E-01
4121	4.53E+01	5.16E+00	9.91E-01	3.13E+00	7.16E+01	9.67E-01	1.98E+00	6.09E-01	8.70E-01	1.16E+00	1.52E+00	1.62E+00	3.71E-02
4122	3.99E+01	5.12E+00	1.22E+00	1.53E+00	6.57E+01	1.08E+00	2.05E+00	1.19E+00	9.45E+00	1.14E+00	1.35E+00	5.45E+00	-2.06E-01
4123	7.47E+01	6.15E+00	9.02E-01	3.10E+00	3.48E+00	1.32E+00	2.93E+00	9.88E-01	3.78E+00	8.50E-01	2.74E-01	6.95E-01	-3.32E-01
4124	6.03E+01	4.79E+00	9.58E-01	3.56E+00	5.73E+01	2.19E-01	2.99E+00	1.47E+00	8.13E+00	9.92E-01	4.68E-01	3.48E+00	-2.67E-01
4125	4.67E+01	6.17E+00	1.04E+00	4.27E+00	9.84E+01	8.03E-01	3.09E+00	1.09E+00	7.01E-01	8.49E-01	5.69E-01	4.69E+00	-3.48E-01
4126	2.23E+01	1.23E+00	1.24E+00	6.55E-01	6.43E+01	1.62E+00	1.68E+00	1.16E+00	6.27E+00	1.06E+00	1.09E+00	2.08E+00	-7.77E-01
4127	6.04E+01	2.30E+00	1.29E+00	2.32E+00	1.26E+01	1.32E+00	8.08E-01	1.09E+00	5.22E+00	1.03E+00	8.13E-01	3.72E+00	-3.55E-01
4128	9.62E+01	2.61E+00	8.85E-01	6.00E-01	4.80E+01	7.26E-01	2.19E+00	1.20E+00	5.25E+00	9.05E-01	1.27E+00	1.25E+00	-4.88E-01
4129	7.16E+00	1.78E+00	1.38E+00	3.63E+00	8.99E+01	8.89E-01	3.24E+00	1.00E+00	7.56E+00	1.06E+00	1.53E+00	6.48E+00	-2.54E-02
4130	2.55E+00	6.56E+00	1.35E+00	2.71E+00	6.84E+01	1.80E+00	1.99E+00	1.23E+00	3.40E+00	9.25E-01	5.92E-01	1.07E-01	-2.19E-01
4131	7.71E+01	2.60E+00	1.13E+00	1.81E+00	6.19E+01	3.77E-01	1.52E+00	1.19E+00	4.26E+00	9.10E-01	7.45E-01	2.39E+00	-6.92E-01
4132	7.22E+01	3.39E+00	1.01E+00	4.92E+00	8.83E+01	1.94E+00	2.41E+00	1.15E+00	3.32E+00	8.66E-01	1.58E+00	6.96E+00	-3.80E-01
4133	3.46E+01	2.91E+00	1.26E+00	3.95E+00	6.75E+01	6.21E-02	2.88E-01	8.90E-01	3.86E+00	1.16E+00	1.45E+00	2.89E+00	-2.34E-01
4134	6.36E+01	1.52E+00	1.30E+00	2.82E+00	2.29E+00	1.70E+00	3.65E-01	1.24E+00	3.22E+00	9.52E-01	1.26E+00	1.50E+00	-3.52E-01
4135	4.45E+01	5.39E+00	8.32E-01	4.49E+00	6.58E+01	1.77E+00	2.04E-01	8.70E-01	5.24E+00	1.16E+00	1.14E+00	2.73E-01	-4.18E-01
4136	3.81E+01	7.10E+00	1.34E+00	3.92E+00	4.64E+01	1.77E+00	1.69E+00	9.90E-01	8.01E+00	9.14E-01	1.64E+00	3.59E+00	-1.51E-02
4137	1.86E+01	4.17E+00	9.67E-01	2.84E+00	8.90E+01	9.97E-01	1.76E+00	8.35E-01	2.51E+00	1.01E+00	4.98E-01	6.64E+00	-2.62E-01
4138	4.22E+01	2.07E+00	1.01E+00	4.73E+00	1.85E+01	1.84E+00	3.23E+00	1.07E+00	9.09E+00	1.09E+00	6.55E-01	2.77E+00	-3.41E-01
4139	6.07E+01	5.99E+00	1.41E+00	2.33E+00	1.19E+01	1.69E+00	2.96E+00	8.05E-01	4.25E+00	8.40E-01	1.40E+00	2.32E+00	1.78E-02
4140	9.36E+01	1.52E+00	1.39E+00	2.73E+00	7.62E+01	1.76E+00	2.73E+00	6.36E-01	6.15E+00	1.16E+00	5.40E-01	4.95E+00	4.07E-01
4141	3.74E+01	2.26E+00	1.32E+00	4.22E+00	2.32E+01	1.69E+00	1.33E+00	5.82E-01	5.12E+00	1.02E+00	2.48E-01	6.54E+00	4.12E-01
4142	5.22E+00	3.15E+00	1.39E+00	1.81E+00	7.75E+01	6.60E-01	1.89E+00	6.49E-01	6.35E+00	9.17E-01	1.63E+00	6.36E+00	1.23E-01
4143	1.67E+01	1.79E+00	1.44E+00	4.09E+00	5.34E+01	1.76E+00	2.21E+00	1.17E+00	2.63E+00	1.04E+00	6.38E-01	1.43E+00	-4.66E-01
4144	6.07E+01	6.07E+00	8.40E-01	1.56E+00	8.10E+01	1.62E+00	2.91E-01	1.08E+00	6.59E+00	1.08E+00	1.32E+00	7.28E+00	-5.69E-01
4145	7.59E+01	1.92E+00	1.16E+00	5.66E-01	8.68E+01	1.63E+00	6.79E-01	9.74E-01	6.59E+00	8.90E-01	1.23E+00	3.46E+00	-5.75E-01
4146	3.08E+00	5.72E+00	8.57E-01	3.59E+00	4.85E+01	1.64E+00	2.25E+00	1.22E+00	6.11E+00	8.20E-01	1.58E+00	1.81E+00	-3.45E-01
4147	9.21E+01	7.54E-01	1.40E+00	3.33E+00	4.21E+01	1.11E-01	7.90E-01	1.29E+00	2.61E+00	1.08E+00	1.39E+00	6.47E+00	-5.06E-01
4148	5.25E+01	5.51E+00	9.89E-01	1.31E+00	9.91E+01	1.90E+00	2.16E+00	5.22E-01	7.50E+00	1.08E+00	1.23E+00	1.75E+00	1.77E-01
4149	5.12E+01	2.80E+00	1.47E+00	1.04E+00	4.33E+01	1.79E+00	1.20E+00	1.03E+00	8.07E+00	9.60E-01	1.55E+00	4.41E+00	-5.24E-01
4150	3.95E+00	1.06E+00	9.23E-01	4.73E+00	8.53E+01	1.42E+00	2.36E+00	8.78E-01	4.80E+00	1.18E+00	1.00E+00	3.46E+00	-3.26E-01
4151	9.00E+01	1.53E+00	1.16E+00	3.41E+00	8.98E+01	4.08E-01	2.93E+00	9.10E-01	5.84E+00	1.13E+00	9.60E-01	1.46E-01	-5.38E-01
4152	7.26E+01	6.38E+00	1.19E+00	2.89E+00	2.89E+01	9.46E-01	4.24E-01	8.29E-01	6.11E+00	9.08E-01	5.68E-01	3.42E+00	3.05E-02
4153	9.79E+01	6.99E+00	1.39E+00	2.54E+00	9.23E+01	8.05E-01	3.06E+00	1.32E+00	6.05E+00	9.63E-01	8.71E-01	3.70E+00	-3.98E-01
