No	k_macropore_multp	k_soil_multp	theta_sat_multp	aquiferBaseflowExp_multp	aquiferBaseflowRate_multp	qSurfScale_multp	summerLAI_multp	frozenPrecipMultip_multp	routingGammaScale_multp	routingGammaShape_multp	Fcapil_multp	thickness_multp	-KGE
33	6.24E+01	1.14E+00	1.10E+00	4.40E+00	8.86E+01	4.45E-01	9.32E-01	5.21E-01	2.93E+00	8.59E-01	6.40E-01	6.40E+00	1.73E-01
34	9.59E+01	5.24E+00	8.26E-01	2.95E+00	3.68E+01	1.99E+00	2.25E+00	1.26E+00	3.51E+00	1.05E+00	1.99E-01	5.82E+00	-4.61E-01
35	9.94E+01	8.46E-01	9.97E-01	3.07E+00	6.86E+01	9.36E-01	1.24E+00	8.10E-01	6.17E+00	1.11E+00	4.33E-01	3.70E+00	-1.63E-01
36	9.90E+01	3.31E+00	1.18E+00	1.74E+00	6.03E+01	1.67E+00	4.85E-01	1.06E+00	5.68E+00	8.58E-01	3.27E-01	6.86E+00	-5.01E-01
37	1.43E+01	5.63E+00	1.29E+00	2.69E+00	3.97E+01	1.43E+00	9.26E-01	8.91E-01	8.21E+00	1.01E+00	1.61E+00	3.75E+00	1.05E-01
38	9.59E+01	4.31E+00	9.62E-01	4.00E+00	8.17E+00	1.45E+00	1.45E+00	9.68E-01	7.23E+00	1.09E+00	1.61E+00	6.86E+00	-1.98E-01
39	4.75E+01	5.05E+00	1.14E+00	1.93E+00	4.83E+01	3.27E-01	2.07E+00	5.54E-01	9.93E+00	9.60E-01	5.05E-01	5.98E+00	8.05E-01
40	6.04E+01	1.20E+00	1.37E+00	2.17E+00	9.73E+01	1.50E+00	1.40E-01	1.07E+00	5.30E+00	1.07E+00	5.75E-01	3.48E+00	-6.30E-01
41	8.25E+00	1.11E+00	1.42E+00	4.80E+00	7.06E+01	8.56E-01	1.88E+00	6.81E-01	1.32E+00	8.14E-01	9.16E-01	4.49E+00	1.69E-01
42	1.89E+01	9.19E-01	1.27E+00	1.32E+00	5.20E+01	1.78E+00	3.31E+00	6.24E-01	5.45E-01	1.12E+00	9.08E-01	1.83E-01	-5.84E-01
43	5.42E+01	3.87E+00	1.22E+00	8.05E-01	2.18E+01	1.72E+00	1.79E+00	8.01E-01	1.20E-01	9.65E-01	5.52E-01	5.23E+00	-2.99E-01
44	8.36E+01	5.91E+00	1.43E+00	4.82E+00	8.56E+01	7.87E-01	1.89E+00	5.45E-01	5.12E+00	8.91E-01	5.06E-01	2.50E-01	2.63E-02
45	1.14E+01	1.62E+00	9.27E-01	1.21E+00	1.17E+00	1.30E+00	5.91E-01	1.05E+00	1.89E+00	1.10E+00	1.10E+00	2.97E+00	-4.50E-01
46	6.17E+01	1.19E+00	1.30E+00	3.29E+00	5.71E+01	1.91E+00	1.09E+00	9.07E-01	7.81E+00	8.86E-01	7.16E-01	4.69E+00	-1.17E-01
47	6.03E+01	6.69E+00	1.29E+00	9.93E-01	1.59E+01	1.81E+00	4.58E-01	7.73E-01	1.32E+00	9.15E-01	8.14E-01	1.04E+00	-4.55E-01
48	9.33E+01	4.39E+00	1.29E+00	1.01E+00	3.69E+01	6.35E-01	1.71E+00	1.49E+00	4.74E+00	8.85E-01	1.07E+00	3.41E-01	-2.16E-01
49	4.61E+01	2.72E+00	1.19E+00	3.70E+00	3.45E+01	1.73E+00	2.34E+00	1.11E+00	7.04E+00	1.01E+00	4.11E-01	2.43E+00	-3.10E-01
50	1.68E+01	6.69E+00	1.13E+00	4.76E+00	1.47E+01	1.63E+00	1.94E+00	1.25E+00	7.47E+00	9.04E-01	1.45E+00	6.66E+00	-2.55E-01
51	1.65E+01	7.14E+00	9.45E-01	1.80E+00	2.83E+01	1.22E+00	1.41E+00	7.15E-01	2.24E+00	8.45E-01	6.59E-01	4.33E+00	-1.24E-01
52	4.23E+01	6.04E+00	1.21E+00	4.51E+00	5.17E+00	3.68E-01	3.10E+00	7.20E-01	1.16E+00	9.51E-01	4.17E-01	1.91E+00	-4.21E-02
53	1.89E+01	5.38E+00	8.27E-01	4.70E+00	8.27E-01	1.73E+00	2.79E+00	6.73E-01	8.59E+00	8.06E-01	8.60E-01	1.08E+00	-3.46E-01
54	3.98E+01	4.20E+00	1.43E+00	1.65E+00	5.95E+01	7.22E-01	1.32E+00	7.18E-01	2.48E+00	1.10E+00	2.52E-01	1.80E+00	-2.16E-01
55	2.98E+01	3.31E+00	1.26E+00	5.39E-01	9.93E+01	7.91E-01	2.43E+00	8.91E-01	9.71E+00	1.05E+00	1.14E+00	4.19E+00	-1.67E-01
56	9.76E+01	3.81E-01	1.36E+00	1.47E+00	7.96E+01	1.68E+00	1.52E+00	7.33E-01	3.28E+00	8.46E-01	4.59E-01	5.88E+00	-3.48E-01
57	3.35E+01	2.69E+00	1.45E+00	3.45E+00	4.84E+01	2.62E-01	1.51E+00	1.07E+00	8.56E+00	1.16E+00	1.48E+00	6.79E+00	2.01E-01
58	2.62E+01	1.66E-01	1.02E+00	8.84E-01	7.99E+01	1.33E+00	3.01E+00	1.47E+00	7.64E+00	8.44E-01	3.45E-01	3.59E+00	-4.95E-01
59	9.64E+01	5.96E+00	9.49E-01	4.38E+00	3.25E+01	2.11E-01	1.86E+00	1.16E+00	4.71E+00	9.94E-01	6.40E-01	6.99E+00	-3.89E-01
60	6.06E+01	5.52E+00	1.18E+00	2.58E+00	6.62E+01	8.00E-01	1.28E+00	1.42E+00	4.13E+00	1.07E+00	1.80E-01	1.56E+00	-2.22E-01
61	3.30E+01	6.54E+00	9.47E-01	9.15E-01	2.01E+00	6.11E-01	1.92E+00	1.48E+00	1.37E+00	1.10E+00	1.44E+00	3.37E+00	-3.77E-01
62	8.55E+01	2.94E+00	9.02E-01	1.94E+00	8.88E+01	8.68E-01	9.02E-01	9.95E-01	2.04E+00	1.12E+00	1.60E+00	6.32E+00	-6.61E-01
63	1.84E+01	2.48E+00	1.35E+00	3.16E+00	9.61E-01	1.58E+00	2.66E+00	8.40E-01	7.03E+00	1.19E+00	8.15E-01	5.32E+00	1.97E-01
64	2.75E+01	1.33E-01	1.30E+00	2.31E+00	7.67E+01	1.11E+00	2.86E+00	1.12E+00	9.56E+00	1.19E+00	1.58E+00	6.22E+00	2.45E-01
65	6.62E+00	2.43E+00	1.05E+00	4.04E+00	5.66E+00	6.12E-01	2.39E+00	1.02E+00	6.76E+00	9.04E-01	5.09E-01	1.83E-01	-4.67E-01
